,Timestamp,Emotion,Emotion_Value
0,2021-11-20 21:03:36.655330,neutral,0.988
1,2021-11-20 21:03:37.081422,neutral,0.984
2,2021-11-20 21:03:37.524963,neutral,0.983
3,2021-11-20 21:03:37.929565,neutral,0.985
4,2021-11-20 21:03:38.327984,neutral,0.963
5,2021-11-20 21:03:38.796379,neutral,0.887
6,2021-11-20 21:03:39.250187,neutral,0.993
7,2021-11-20 21:03:39.712362,neutral,0.998
8,2021-11-20 21:03:40.102980,neutral,0.996
9,2021-11-20 21:03:40.527815,neutral,0.999
10,2021-11-20 21:03:40.941691,neutral,0.998
11,2021-11-20 21:03:41.381021,neutral,0.984
12,2021-11-20 21:03:41.807988,neutral,0.994
13,2021-11-20 21:03:42.268530,neutral,0.997
14,2021-11-20 21:03:42.670837,neutral,0.986
15,2021-11-20 21:03:43.115379,neutral,0.994
16,2021-11-20 21:03:43.616136,neutral,0.986
17,2021-11-20 21:03:44.130988,neutral,0.991
18,2021-11-20 21:03:44.517089,neutral,0.992
19,2021-11-20 21:03:44.945258,anger,0.562
20,2021-11-20 21:03:45.409934,neutral,0.971
21,2021-11-20 21:03:45.871152,neutral,0.981
22,2021-11-20 21:03:46.082143,not paying attention,-1
23,2021-11-20 21:03:46.283004,not paying attention,-1
24,2021-11-20 21:03:46.536074,not paying attention,-1
25,2021-11-20 21:03:46.729266,not paying attention,-1
26,2021-11-20 21:03:46.917348,not paying attention,-1
27,2021-11-20 21:03:47.133649,not paying attention,-1
28,2021-11-20 21:03:47.578495,neutral,0.983
29,2021-11-20 21:03:47.977703,neutral,0.99
30,2021-11-20 21:03:48.210582,not paying attention,-1
31,2021-11-20 21:03:48.410488,not paying attention,-1
32,2021-11-20 21:03:48.959443,neutral,0.943
33,2021-11-20 21:03:49.390772,neutral,0.987
34,2021-11-20 21:03:49.784362,neutral,0.92
35,2021-11-20 21:03:50.237299,neutral,0.985
36,2021-11-20 21:03:50.621002,neutral,0.999
37,2021-11-20 21:03:51.043459,neutral,0.999
38,2021-11-20 21:03:51.462157,neutral,0.994
39,2021-11-20 21:03:51.903415,neutral,0.99
40,2021-11-20 21:03:52.298509,neutral,0.997
41,2021-11-20 21:03:52.693233,neutral,0.995
42,2021-11-20 21:03:53.138178,neutral,0.987
43,2021-11-20 21:03:53.579290,neutral,0.992
44,2021-11-20 21:03:53.756778,not paying attention,-1
45,2021-11-20 21:03:53.951451,not paying attention,-1
46,2021-11-20 21:03:54.188354,not paying attention,-1
47,2021-11-20 21:03:54.381022,not paying attention,-1
48,2021-11-20 21:03:54.564236,not paying attention,-1
49,2021-11-20 21:03:54.811115,not paying attention,-1
50,2021-11-20 21:03:55.004920,not paying attention,-1
51,2021-11-20 21:03:55.187611,not paying attention,-1
52,2021-11-20 21:03:55.571619,neutral,0.952
53,2021-11-20 21:03:56.054390,neutral,0.998
54,2021-11-20 21:03:56.471035,neutral,0.998
55,2021-11-20 21:03:56.958345,neutral,1
56,2021-11-20 21:03:57.381699,neutral,0.999
57,2021-11-20 21:03:57.937365,neutral,0.994
58,2021-11-20 21:03:58.145122,not paying attention,-1
59,2021-11-20 21:03:58.431602,not paying attention,-1
60,2021-11-20 21:03:58.624585,not paying attention,-1
61,2021-11-20 21:03:58.822807,not paying attention,-1
62,2021-11-20 21:03:59.062761,not paying attention,-1
63,2021-11-20 21:03:59.257709,not paying attention,-1
64,2021-11-20 21:03:59.502172,not paying attention,-1
65,2021-11-20 21:03:59.690916,not paying attention,-1
66,2021-11-20 21:03:59.890207,not paying attention,-1
67,2021-11-20 21:04:00.109490,not paying attention,-1
68,2021-11-20 21:04:00.521083,neutral,0.996
69,2021-11-20 21:04:01.048359,neutral,0.93
70,2021-11-20 21:04:01.463193,neutral,0.999
71,2021-11-20 21:04:01.661980,not paying attention,-1
72,2021-11-20 21:04:01.981006,not paying attention,-1
73,2021-11-20 21:04:02.175470,not paying attention,-1
74,2021-11-20 21:04:02.363870,not paying attention,-1
75,2021-11-20 21:04:02.644169,not paying attention,-1
76,2021-11-20 21:04:02.855930,not paying attention,-1
77,2021-11-20 21:04:03.054207,not paying attention,-1
78,2021-11-20 21:04:03.253141,not paying attention,-1
79,2021-11-20 21:04:03.673293,neutral,0.979
80,2021-11-20 21:04:04.117231,neutral,0.894
81,2021-11-20 21:04:04.583166,neutral,0.999
82,2021-11-20 21:04:04.996207,neutral,1
83,2021-11-20 21:04:05.439210,neutral,0.994
84,2021-11-20 21:04:05.665165,not paying attention,-1
85,2021-11-20 21:04:05.847868,not paying attention,-1
86,2021-11-20 21:04:06.120847,not paying attention,-1
87,2021-11-20 21:04:06.320270,not paying attention,-1
88,2021-11-20 21:04:06.521274,not paying attention,-1
89,2021-11-20 21:04:06.766484,not paying attention,-1
90,2021-11-20 21:04:06.954097,not paying attention,-1
91,2021-11-20 21:04:07.173740,not paying attention,-1
92,2021-11-20 21:04:07.386282,not paying attention,-1
93,2021-11-20 21:04:07.602208,not paying attention,-1
94,2021-11-20 21:04:07.811308,not paying attention,-1
95,2021-11-20 21:04:08.012231,not paying attention,-1
96,2021-11-20 21:04:08.200455,not paying attention,-1
97,2021-11-20 21:04:08.421382,not paying attention,-1
98,2021-11-20 21:04:08.627904,not paying attention,-1
99,2021-11-20 21:04:08.823872,not paying attention,-1
100,2021-11-20 21:04:09.063768,not paying attention,-1
101,2021-11-20 21:04:09.295919,not paying attention,-1
102,2021-11-20 21:04:09.752076,neutral,0.975
103,2021-11-20 21:04:10.203144,neutral,0.949
104,2021-11-20 21:04:10.603969,neutral,0.997
105,2021-11-20 21:04:11.049529,neutral,0.879
106,2021-11-20 21:04:11.488575,neutral,0.996
107,2021-11-20 21:04:11.931271,neutral,0.999
108,2021-11-20 21:04:12.405967,neutral,0.986
109,2021-11-20 21:04:12.677908,not paying attention,-1
110,2021-11-20 21:04:12.886493,not paying attention,-1
111,2021-11-20 21:04:13.074702,not paying attention,-1
112,2021-11-20 21:04:13.271347,not paying attention,-1
113,2021-11-20 21:04:13.462525,not paying attention,-1
114,2021-11-20 21:04:13.670021,not paying attention,-1
115,2021-11-20 21:04:13.864414,not paying attention,-1
116,2021-11-20 21:04:14.064568,not paying attention,-1
117,2021-11-20 21:04:14.264849,not paying attention,-1
118,2021-11-20 21:04:14.504486,not paying attention,-1
119,2021-11-20 21:04:14.693414,not paying attention,-1
120,2021-11-20 21:04:14.880048,not paying attention,-1
121,2021-11-20 21:04:15.089115,not paying attention,-1
122,2021-11-20 21:04:15.270326,not paying attention,-1
123,2021-11-20 21:04:15.482048,not paying attention,-1
124,2021-11-20 21:04:15.699788,not paying attention,-1
125,2021-11-20 21:04:15.892211,not paying attention,-1
126,2021-11-20 21:04:16.146757,not paying attention,-1
127,2021-11-20 21:04:16.478926,not paying attention,-1
128,2021-11-20 21:04:16.682929,not paying attention,-1
129,2021-11-20 21:04:16.939056,not paying attention,-1
130,2021-11-20 21:04:17.139419,not paying attention,-1
131,2021-11-20 21:04:17.355832,not paying attention,-1
132,2021-11-20 21:04:17.547631,not paying attention,-1
133,2021-11-20 21:04:17.748512,not paying attention,-1
134,2021-11-20 21:04:17.953618,not paying attention,-1
135,2021-11-20 21:04:18.156099,not paying attention,-1
136,2021-11-20 21:04:18.346448,not paying attention,-1
137,2021-11-20 21:04:18.554930,not paying attention,-1
138,2021-11-20 21:04:18.755530,not paying attention,-1
139,2021-11-20 21:04:18.939042,not paying attention,-1
140,2021-11-20 21:04:19.150444,not paying attention,-1
141,2021-11-20 21:04:19.346099,not paying attention,-1
142,2021-11-20 21:04:19.550158,not paying attention,-1
143,2021-11-20 21:04:19.819271,not paying attention,-1
144,2021-11-20 21:04:20.008630,not paying attention,-1
145,2021-11-20 21:04:20.218337,not paying attention,-1
146,2021-11-20 21:04:20.459923,not paying attention,-1
147,2021-11-20 21:04:20.656178,not paying attention,-1
148,2021-11-20 21:04:20.860119,not paying attention,-1
149,2021-11-20 21:04:21.074284,not paying attention,-1
150,2021-11-20 21:04:21.251746,not paying attention,-1
151,2021-11-20 21:04:21.494986,not paying attention,-1
152,2021-11-20 21:04:21.813882,not paying attention,-1
153,2021-11-20 21:04:22.005250,not paying attention,-1
154,2021-11-20 21:04:22.238805,not paying attention,-1
155,2021-11-20 21:04:22.422226,not paying attention,-1
156,2021-11-20 21:04:22.619065,not paying attention,-1
157,2021-11-20 21:04:22.842594,not paying attention,-1
158,2021-11-20 21:04:23.044207,not paying attention,-1
159,2021-11-20 21:04:23.247981,not paying attention,-1
160,2021-11-20 21:04:23.444246,not paying attention,-1
161,2021-11-20 21:04:23.651423,not paying attention,-1
162,2021-11-20 21:04:23.909963,not paying attention,-1
163,2021-11-20 21:04:24.116778,not paying attention,-1
164,2021-11-20 21:04:24.310836,not paying attention,-1
165,2021-11-20 21:04:24.524865,not paying attention,-1
166,2021-11-20 21:04:24.722857,not paying attention,-1
167,2021-11-20 21:04:24.963273,not paying attention,-1
168,2021-11-20 21:04:25.225562,not paying attention,-1
